delivery_date,wings,tenders,fries_reg,fries_large,veggies,dips,drinks,flavours,year,month,day_of_week,is_monday,is_saturday,week_of_year,season,total_inventory,wings_ratio,protein_ratio,sides_ratio,beverages_ratio,wings_lag1,wings_lag2,tenders_lag1,tenders_lag2,total_inventory_lag1,total_inventory_lag2,total_inventory_rolling_mean,wings_rolling_std,reconstruction_error,is_anomaly
2024-03-18,5079,769,135,171,164,526,227,765,2024,3,0,1,0,12,spring,7836,0.6481623277182236,0.7462991322103114,0.05997958141909137,0.028968861664114345,4969.0,4097.0,661.0,706.0,7595.0,6601.0,7612.25,631.6287807459904,0.009276343062790359,False
2024-03-23,4479,499,122,115,111,385,168,664,2024,3,5,0,1,12,spring,6543,0.6845483723062815,0.7608130826837842,0.05318661164603393,0.02567629527739569,5079.0,4969.0,769.0,661.0,7836.0,7595.0,7556.5,592.4398000359754,0.009939603301468924,False
2024-03-25,4998,669,133,144,142,461,199,752,2024,3,0,1,0,13,spring,7498,0.6665777540677514,0.7558015470792211,0.05588156841824486,0.026540410776206988,4479.0,5079.0,499.0,769.0,6543.0,7836.0,7143.75,454.8655479003289,0.006178127504685295,False
2024-03-30,5997,743,160,198,188,607,240,885,2024,3,5,0,1,13,spring,9018,0.6650033266799734,0.7473941006875139,0.06054557551563539,0.02661343978709248,4998.0,4479.0,669.0,499.0,7498.0,6543.0,7368.0,272.17687263983294,0.012677721051584974,False
2024-04-01,4266,745,79,116,114,351,139,648,2024,4,0,1,0,14,spring,6458,0.6605760297305667,0.7759368225456797,0.04784763084546299,0.021523691545370083,5997.0,4998.0,743.0,669.0,9018.0,7498.0,7723.75,631.2006416346547,0.019533826459554295,False
2024-04-06,4815,833,143,152,136,520,231,803,2024,4,5,0,1,14,spring,7633,0.6308135726450936,0.7399449757631338,0.056465347831783044,0.030263330276431286,4266.0,5997.0,745.0,743.0,6458.0,9018.0,7379.25,771.8613865196263,0.011031302881076871,False
2024-04-08,4476,681,129,136,134,460,217,749,2024,4,0,1,0,15,spring,6982,0.6410770552850186,0.7386135777714122,0.05714694929819536,0.03107991979375537,4815.0,4266.0,833.0,745.0,7633.0,6458.0,7651.75,722.3918604192602,0.011944401201957137,False
2024-04-13,5062,865,131,169,156,512,231,787,2024,4,5,0,1,15,spring,7913,0.6397068115758878,0.7490205990142803,0.057626690256539874,0.029192468090484015,4476.0,4815.0,681.0,833.0,6982.0,7633.0,7522.75,772.838275449657,0.01251006137873176,False
2024-04-15,4387,579,124,139,131,453,194,691,2024,4,0,1,0,16,spring,6698,0.6549716333233802,0.7414153478650344,0.058823529411764705,0.028963869811884143,5062.0,4476.0,865.0,681.0,7913.0,6982.0,7246.5,353.36984874207906,0.004938001087710198,False
2024-04-20,5103,508,128,137,129,450,196,705,2024,4,5,0,1,16,spring,7356,0.6937194127243067,0.762778684067428,0.05356171832517673,0.026644915715062535,4387.0,5062.0,579.0,865.0,6698.0,7913.0,7306.5,311.72316778406633,0.009052585718299958,False
2024-04-22,5774,873,133,214,211,624,215,841,2024,4,0,1,0,17,spring,8885,0.6498593134496342,0.7481148002250985,0.06280247608328644,0.024198086662915026,5103.0,4387.0,508.0,579.0,7356.0,6698.0,7237.25,377.97795350169986,0.011718023378031971,False
2024-04-27,6178,858,184,194,181,649,276,976,2024,4,5,0,1,17,spring,9496,0.6505897219882055,0.7409435551811289,0.05886689132266217,0.02906486941870261,5774.0,5103.0,873.0,508.0,8885.0,7356.0,7713.0,566.4888936834211,0.034406757885212705,False
2024-04-29,4773,664,131,159,154,486,211,720,2024,4,0,1,0,18,spring,7298,0.654014798574952,0.7449986297615785,0.06083858591394903,0.02891203069334064,6178.0,5774.0,858.0,873.0,9496.0,8885.0,8108.75,785.9807037495682,0.013884697753686616,False
2024-05-04,5844,707,147,193,184,573,231,843,2024,5,5,0,1,18,spring,8722,0.6700298096766797,0.7510891997248338,0.06007796376977757,0.026484751203852328,4773.0,6178.0,664.0,858.0,7298.0,9496.0,8258.75,636.0036687525209,0.010048540155231215,False
2024-05-06,4306,341,133,89,85,346,187,632,2024,5,0,1,0,19,spring,6119,0.7037097564961595,0.7594378166367054,0.05017159666612191,0.030560549109331592,5844.0,4773.0,707.0,664.0,8722.0,7298.0,8600.25,605.7185127323304,0.07249963999950118,True
2024-05-11,4843,653,134,141,141,462,180,708,2024,5,5,0,1,19,spring,7262,0.6668961718534839,0.7568163040484714,0.05728449462957863,0.024786560176259985,4306.0,5844.0,341.0,707.0,6119.0,8722.0,7908.75,881.3124209571388,0.015679317979413472,False
2024-05-13,5514,596,154,181,178,552,246,797,2024,5,0,1,0,20,spring,8218,0.6709661718179606,0.7434899002190314,0.06242394743246532,0.029934290581650036,4843.0,4306.0,653.0,341.0,7262.0,6119.0,7350.25,647.1632972699647,0.01976102737317537,False
2024-05-18,4197,857,127,156,144,490,239,760,2024,5,5,0,1,20,spring,6970,0.6021520803443329,0.7251076040172166,0.06126255380200861,0.034289813486370155,5514.0,4843.0,596.0,653.0,8218.0,7262.0,7580.25,687.6420459318442,0.009942293425041661,False
2024-05-20,4867,522,105,137,130,432,171,715,2024,5,0,1,0,21,spring,7079,0.6875264867919197,0.7612657154965391,0.05254979516880915,0.024155954230823562,4197.0,5514.0,857.0,596.0,6970.0,8218.0,7142.25,602.8792029364861,0.013524971343614993,False
2024-05-25,4705,743,119,149,140,448,231,744,2024,5,5,0,1,21,spring,7279,0.6463799972523698,0.7484544580299491,0.05605165544717681,0.0317351284517104,4867.0,4197.0,522.0,857.0,7079.0,6970.0,7382.25,537.7523438659592,0.00959560458828447,False
2024-05-27,5311,715,150,149,144,518,248,865,2024,5,0,1,0,22,spring,8100,0.655679012345679,0.7439506172839506,0.054691358024691356,0.030617283950617285,4705.0,4867.0,743.0,522.0,7279.0,7079.0,7386.5,543.1993955568552,0.024547712281402234,False
2024-06-01,6898,926,194,218,204,678,332,1013,2024,6,5,0,1,22,summer,10463,0.6592755423874606,0.7477778839720921,0.05887412787919335,0.031730861129695115,5311.0,4705.0,715.0,743.0,8100.0,7279.0,7357.0,459.9434747879347,0.07919018752983151,True
2024-06-03,4283,489,101,152,149,447,167,604,2024,6,0,1,0,23,summer,6392,0.6700563204005007,0.746558197747184,0.06289111389236546,0.026126408010012515,6898.0,5311.0,926.0,715.0,10463.0,8100.0,8230.25,1001.8064932909946,0.01955248639021223,False
2024-06-08,6229,564,148,173,168,546,254,865,2024,6,5,0,1,23,summer,8947,0.6962110204537834,0.7592489102492456,0.054655191684363474,0.02838940426958757,4283.0,6898.0,489.0,926.0,6392.0,10463.0,8058.5,1146.303733745991,0.06434916392504418,True
2024-06-10,5539,701,161,155,150,536,235,851,2024,6,0,1,0,24,summer,8328,0.6651056676272814,0.7492795389048992,0.05595581171950048,0.028218059558117195,6229.0,4283.0,564.0,489.0,8947.0,6392.0,8475.5,1136.1770328606365,0.011206505512584243,False
2024-06-15,5073,436,130,143,138,463,184,687,2024,6,5,0,1,24,summer,7254,0.6993382961124897,0.7594430658946788,0.05665839536807279,0.025365315687896333,5539.0,6229.0,701.0,564.0,8328.0,8947.0,8532.5,1117.035473921934,0.007763376852130948,False
2024-06-17,5161,537,126,143,141,444,190,708,2024,6,0,1,0,25,summer,7450,0.692751677852349,0.7648322147651007,0.05503355704697987,0.025503355704697986,5073.0,5539.0,436.0,701.0,7254.0,8328.0,7730.25,817.4219636556546,0.020832111665477826,False
2024-06-22,5267,920,206,165,156,587,306,916,2024,6,5,0,1,25,summer,8523,0.6179748914701396,0.7259181039540068,0.061832688020650006,0.03590285110876452,5161.0,5073.0,537.0,436.0,7450.0,7254.0,7994.75,526.0579815951846,0.012828258125826386,False
2024-06-24,4276,795,142,132,127,432,196,726,2024,6,0,1,0,26,summer,6826,0.6264283621447407,0.7428948139466744,0.05874597128625842,0.028713741576325814,5267.0,5161.0,920.0,537.0,8523.0,7450.0,7888.75,202.20451692943556,0.014321762037912486,False
2024-06-29,5950,617,112,218,200,611,194,817,2024,6,5,0,1,26,summer,8719,0.6824177084528043,0.7531827044385824,0.06078678747562794,0.022250258057116643,4276.0,5267.0,795.0,920.0,6826.0,8523.0,7513.25,452.5051565083722,0.0156938554743191,False
2024-07-01,4697,466,128,131,128,444,202,687,2024,7,0,1,0,27,summer,6883,0.682405927647828,0.7501089641144849,0.056225483074240884,0.029347668167950022,5950.0,4276.0,617.0,795.0,8719.0,6826.0,7879.5,687.2546835053216,0.013176150730379331,False
2024-07-06,3593,969,146,142,139,476,232,719,2024,7,5,0,1,27,summer,6416,0.5600062344139651,0.7110349127182045,0.06655236907730673,0.03615960099750624,4697.0,5950.0,466.0,617.0,6883.0,8719.0,7737.75,725.8900284019152,0.01271947418269171,False
2024-07-08,4900,672,130,155,143,496,196,742,2024,7,0,1,0,28,summer,7434,0.6591337099811676,0.7495291902071564,0.05757331181059994,0.026365348399246705,3593.0,4697.0,969.0,466.0,6416.0,6883.0,7211.0,991.2231501197563,0.0069980561454027635,False
2024-07-13,5071,969,162,191,185,605,238,837,2024,7,5,0,1,28,summer,8258,0.6140712036812788,0.73141196415597,0.06514894647614435,0.028820537660450472,4900.0,3593.0,672.0,969.0,7434.0,6416.0,7363.0,965.9292589694821,0.012394308966017923,False
2024-07-15,4724,613,133,150,146,469,207,701,2024,7,0,1,0,29,summer,7143,0.6613467730645387,0.747165056698866,0.06005879882402352,0.02897942041159177,5071.0,4900.0,969.0,672.0,8258.0,7434.0,7247.75,665.9501357709397,0.010054025320336505,False
2024-07-20,4469,545,137,137,127,460,233,710,2024,7,5,0,1,29,summer,6818,0.6554708125550015,0.7354062775007334,0.05881490173071282,0.03417424464652391,4724.0,5071.0,613.0,969.0,7143.0,8258.0,7312.75,667.8647567684142,0.007542994354832447,False
2024-07-22,6619,852,186,186,183,616,296,951,2024,7,0,1,0,30,summer,9889,0.6693295580948528,0.7554858934169278,0.056122964910506626,0.0299322479522702,4469.0,4724.0,545.0,613.0,6818.0,7143.0,7413.25,257.19901503180955,0.0235367244779072,False
2024-07-27,4887,733,136,142,134,471,210,760,2024,7,5,0,1,30,summer,7473,0.6539542352468888,0.7520406797805433,0.05513180784156296,0.028101164191087918,6619.0,4469.0,852.0,545.0,9889.0,6818.0,8027.0,964.2642704846701,0.011302835801968078,False
2024-07-29,5297,668,152,137,133,470,234,794,2024,7,0,1,0,31,summer,7885,0.6717818642993024,0.7564996829422955,0.05351934051997464,0.029676601141407737,4887.0,6619.0,733.0,852.0,7473.0,9889.0,7830.75,978.0791975431571,0.011325452821806522,False
2024-08-03,5154,1210,164,198,192,618,230,856,2024,8,5,0,1,31,summer,8622,0.5977731384829506,0.7381118070053352,0.06425423335652981,0.02667594525632104,5297.0,4887.0,668.0,733.0,7885.0,7473.0,8016.25,930.8784381790493,0.02178947219333669,False
