,MAE,RMSE,R2,Accuracy,CV_MAE,Best_Params
Linear Regression,24.879309304062538,41.052597929988046,0.8555543605039504,0.8555543605039504,41.828103660519304,{}
Ridge,24.759157315491482,41.51925828837601,0.8555060728447033,0.8555060728447033,30.12071495263804,{'alpha': 0.1}
Lasso,23.361413956466073,39.80206719278673,0.8714782035384465,0.8714782035384465,23.085092338151544,{'alpha': 1.0}
ElasticNet,24.999554436900933,45.73294143252052,0.86353782958677,0.86353782958677,29.162058997765556,"{'alpha': 0.1, 'l1_ratio': 0.9}"
Random Forest,74.8809658928572,276.32719122233664,0.4347278564715488,0.4347278564715488,48.71580787037036,"{'max_depth': 7, 'min_samples_split': 2, 'n_estimators': 200}"
